1,8.60
2,7.20
3,9.48
4,8.96
5,10.51
6,8.43
7,5.17
8,9.77
9,6.14
10,18.71
11,26.21
12,27.74
13,17.46
14,30.06
15,20.20
16,19.21
17,27.72
18,30.43
19,10.42
20,28.55
21,28.95
22,31.35
23,32.84
24,31.34
25,33.18
26,29.01
27,31.33
28,29.33
29,15.17
30,16.26
31,24.27
32,14.57
33,15.43
34,17.09
35,23.49
36,28.21
37,22.82
38,15.23
39,15.54
40,18.50
41,20.21
42,23.66
43,20.45
44,20.69
45,22.75
46,20.47
47,19.17
48,19.82
49,21.11
50,18.54
51,22.69
52,19.36
53,16.20
54,25.53
55,26.37
56,24.80
57,17.03
58,16.73
59,20.66
60,10.28
61,37.46
62,19.85
63,9.52
64,10.05
65,41.25
66,37.38
67,9.48
68,41.37
69,20.95
70,40.30
71,17.25
72,36.20
73,10.91
74,36.14
75,39.28
76,17.19
77,35.21
78,15.86
79,40.09
80,35.78
81,16.11
82,24.14
83,34.07
84,40.32
85,16.39
86,34.96
87,9.62
88,16.62
89,31.94
90,41.23
91,31.53
92,32.13
93,12.96
94,43.14
95,12.73
96,27.93
97,37.97
98,24.82
99,8.43
100,12.49
101,26.84
102,9.08
103,39.87
104,41.05
105,14.44
106,8.67
107,27.66
108,8.50
109,7.72
110,13.68
111,7.85
112,13.85
113,12.32
114,11.69
115,30.22
116,11.82
117,28.81
118,28.56
119,10.94
120,11.62
121,27.34
122,11.99
123,17.73
124,11.38
125,16.73
126,11.78
127,16.63
128,27.68
129,10.39
130,25.98
131,15.00
132,25.61
133,17.59
134,26.68
135,16.38
136,15.16
137,23.70
138,16.34
139,24.35
140,10.70
141,13.03
142,14.28
143,11.91
144,12.06
145,11.31
146,13.72
147,11.64
148,26.95
149,12.02
150,26.00
151,26.61
152,12.14
153,22.47
154,16.49
155,21.26
156,6.68
157,7.31
158,8.68
159,6.88
160,4.47
161,10.22
162,19.15
163,95.63
164,114.89
165,45.51
166,14.49
167,8.58
168,33.18
169,21.91
170,73.84
171,79.41
172,26.93
173,58.02
174,22.03
175,127.97
176,14.61
177,89.61
178,48.16
179,124.72
180,110.41
181,120.79
182,72.31
183,77.40
184,94.46
185,63.20
186,65.04
187,70.08
188,62.62
189,62.34
190,65.89
191,66.38
192,54.64
193,53.73
194,70.44
195,48.92
196,83.85
197,81.67
198,46.11
199,82.52
200,87.32
201,90.65
202,78.88
203,53.88
204,71.38
205,89.13
206,48.89
207,24.34
208,38.31
209,24.19
210,23.77
211,33.80
212,21.29
213,18.78
214,20.10
215,19.91
216,25.84
217,16.12
218,11.89
219,16.08
220,10.68
221,17.01
222,13.19
223,6.38
224,18.11
225,11.99
226,16.97
227,18.25
228,15.71
229,26.12
230,18.81
231,33.86
232,76.13
233,119.88
234,104.13
235,104.03
236,122.59
237,122.30
238,99.28
239,109.39
240,143.57
241,126.68
242,134.50
243,87.71
244,68.60
245,104.57
246,103.70
247,123.53
248,87.48
249,79.68
250,102.15
251,98.11
252,101.31
253,86.13
254,64.46
255,95.43
256,107.82
257,81.01
258,96.72
259,48.51
260,47.63
261,90.04
262,52.92
263,40.84
264,45.27
265,101.34
266,39.72
267,27.70
268,59.26
269,59.67
270,29.73
271,58.75
272,52.25
273,39.10
274,65.87
275,51.12
276,33.02
277,56.73
278,56.72
279,73.76
280,23.92
281,61.98
282,58.68
283,45.21
284,19.76
285,47.60
286,19.61
287,15.51
288,13.51
289,14.44
290,34.00
291,9.47
292,26.19
293,29.04
294,26.03
295,32.33
296,17.23
297,6.42
298,55.31
299,13.62
300,15.95
301,45.06
302,52.77
303,78.89
304,25.69
305,22.61
306,119.97
307,23.36
308,23.83
309,33.95
310,35.67
311,12.70
312,26.13
313,36.55
314,25.12
315,23.43
316,29.56
317,23.79
318,24.09
319,24.05
320,48.09
321,21.78
322,34.37
323,30.19
324,31.99
325,105.64
326,29.54
327,29.01
328,15.59
329,30.91
330,21.30
331,25.66
332,29.11
333,21.40
334,38.66
335,14.59
336,18.74
337,27.03
338,14.77
339,16.89
